Baja: Edge of Control,3,9655,2,2008,100000031,15,,1,9,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.
Banjo-Kazooie: Nuts & Bolts,3,9642,2,2008,100000032,14,,1,1,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.
Barnyard,2,9655,3,2007,100000033,11,,4,9,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty."
Battle of the Bands,5,9655,3,2008,100000034,10,597,1,8,A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.
Battlefield 2: Modern Combat,1,9637,2,2005,100000035,2,846,1,1,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood."
Battlefield: Bad Company,1,9637,2,2008,100000036,17,268,7,3,"Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers."
Battles of Prince of Persia,7,9656,1,2005,100000037,5,,10,10,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification."
Battlestations: Midway,7,9640,2,2007,100000038,2,539,1,7,Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.
BattleZone,1,9631,5,2006,100000039,5,,10,2,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets."
B-Boy,1,9652,5,2006,100000040,15,,1,1,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters."
Beautiful Katamari,1,9645,2,2007,100000041,4,896,1,5,"To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way."
Bee Movie Game,2,9628,1,2007,100000042,11,,1,9,"Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds."
Beijing 2008,6,9651,2,2008,100000043,3,791,6,4,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic."
Beowulf: The Game,1,9656,2,2007,100000044,11,,1,6,Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.
Big Brain Academy,1,9647,1,2005,100000045,7,692,1,9,"Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village."
Big Brain Academy: Wii Degree,1,9647,3,2007,100000046,13,,1,7,"In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives."
Bionicle Heroes,1,9640,1,2006,100000047,13,104,1,9,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.
BioShock,1,9627,2,2007,100000048,18,586,1,4,"A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks."
BlackSite: Area 51,1,9644,2,2007,100000049,12,380,1,2,"Led by a trio of Korean celebs, a multinational panel of men engage in – usually – lighthearted debates on issues that surround Korea and beyond."
Blazing Angels 2: Secret Missions of WWII,1,9656,2,2007,100000050,6,,1,2,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.
Blazing Angels: Squadrons of WWII,1,9656,2,2006,100000051,14,,1,3,"A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth’s most incredible animals."
Bleach: The Blade of Fate,1,9651,1,2007,100000052,2,771,8,4,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize."
Blitz: The League,6,9644,2,2006,100000053,11,930,3,1,"Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school."
Blitz: The League II,6,9644,4,2008,100000054,10,,7,10,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides."
Blue Dragon,4,9642,2,2006,100000055,4,173,6,10,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways."
Bomberman,7,9656,1,2005,100000056,3,,1,7,Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.
Bomberman: Act Zero,1,9641,2,2006,100000057,1,648,1,1,"This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet."
Boogie,1,9637,3,2007,100000058,4,414,9,5,"This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community."
Boom Blox,7,9637,3,2008,100000059,8,867,1,2,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help."
Bounty Hounds,7,9645,5,2006,100000060,1,,9,3,A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.
Brain Age: Train Your Brain in Minutes a Day!,1,9647,1,2005,100000061,1,,1,6,"Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin."
Brain Agey: More Training in Minutes a Day!,1,9647,1,2005,100000062,9,,1,7,"Amid the thriving nightlife of 1960s Kuala Lumpur, three Chinese friends – a showgirl, her housekeeper and a chanteuse – find love and heartbreak."
Brooktown High,5,9641,5,2007,100000063,12,,3,2,"At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds."
Brothers in Arms DS,1,9656,1,2007,100000064,3,416,9,9,The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.
Brothers in Arms: D-Day,1,9656,5,2006,100000065,9,,1,10,"A former footballer tries to make it as a player agent in the world of African soccer, but a secret from his past threatens to destroy everything."
Brothers in Arms: Double Time,7,9656,3,2008,100000066,4,738,1,1,"A mix of brilliance, erudition and skill enables a modern Sherlock Holmes to solve impossible cases, all while he tries to heal personal wounds."
Brothers in Arms: Hell's Highway,1,9656,2,2008,100000067,12,,1,5,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work."
Bullet Witch,1,9631,2,2006,100000068,2,642,9,4,"To find love, seven strangers leave Japan and embark on a journey through the continent of Africa together. Challenges, adventure and romance await!"
Bully: Scholarship Edition,2,9650,2,2008,100000069,8,239,1,5,"Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple."
Burnout Dominator,3,9637,5,2007,100000070,9,862,1,6,Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.
Burnout Legends,3,9637,5,2005,100000071,14,79,4,5,"While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway."
Burnout Paradise,3,9637,4,2008,100000072,12,,1,1,"Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss."""
BWii: Battalion Wars 2,5,9647,3,2007,100000073,2,,6,7,A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.
Cabela's African Safari,6,9628,2,2006,100000074,8,309,4,8,"Tatsumi sets out on a journey to help his poor village. When he's rescued by a band of assassins, he joins their fight against the corrupt government."
Cabela's Alaskan Adventures,6,9628,2,2006,100000075,17,244,1,3,"From battles of wit to fights for justice, Emperor Akbar and his trusty advisor Birbal display their unique bond through adventures in Mughal-era India."
Cabela's Big Game Hunter,6,9628,2,2007,100000076,15,355,1,10,"A little girl must enter an orphanage after her parents are arrested, but her life takes a dramatic turn when she escapes and meets a model."
Cabela's Dangerous Hunts 2009,6,9628,2,2008,100000077,1,,1,2,"In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love."
Call of Duty 2,1,9628,2,2005,100000078,11,875,1,2,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next."
Call of Duty 3,1,9628,2,2006,100000079,10,580,1,7,"In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity. Based on Margaret Atwood's award-winning novel."
Call of Duty 4: Modern Warfare,1,9628,2,2007,100000080,9,,1,1,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive."
Call of Duty: Roads to Victory,1,9628,5,2007,100000081,7,,7,9,"Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies."
Call of Duty: World at War,1,9628,2,2008,100000082,5,,1,6,"Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets."
Call of Juarez,1,9656,2,2007,100000083,8,752,10,5,"Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos."
Capcom Classics Collection Reloaded,1,9633,5,2006,100000084,2,,10,3,Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.
Capcom Classics Collection Remixed,1,9633,5,2005,100000085,17,,1,8,"A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime."
Capcom Puzzle World,7,9633,5,2007,100000086,3,254,1,8,"In this Emmy winner for Outstanding Children's Animated Program, Madagascar booty-shaker King Julien takes on the jungle’s craziest adventures."
Castlevania Judgment,1,9641,3,2008,100000087,7,735,5,9,"Julien's been dethroned, but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom."
Castlevania: Dawn of Sorrow,4,9641,1,2005,100000088,7,,1,6,"Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids."
Castlevania: Order of Ecclesia,4,9641,1,2008,100000089,12,,9,4,"Equipped with limited resources, an isolated group of individuals is subjected to the harsh conditions of the wilderness and must survive — or tap out."
Castlevania: Portrait of Ruin,1,9641,1,2006,100000090,17,30,1,7,"The letters of the alphabet come to life in Alphaland as they read, write and spell their way into an exciting world of phonic fun."
Castlevania: The Dracula X Chronicles,1,9641,5,2007,100000091,1,341,10,3,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder."
Children of Mana,4,9647,1,2006,100000092,17,,1,10,"A young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day Cartagena and defeat a dark rival."
Chromehounds,5,9651,2,2006,100000093,4,,6,7,"Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium."
Chrono Trigger,4,9654,1,2008,100000094,2,,1,8,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion."
Clubhouse Games,7,9647,1,2005,100000095,6,,1,7,Supermodel Tyra Banks created and executive-produced this reality series that chronicles the transformation of young women into potential supermodels.
Coded Arms,1,9641,5,2005,100000096,2,131,1,5,"This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system."
Coded Arms: Contagion,1,9641,5,2007,100000097,18,116,1,9,"This anthology series dramatizes historic criminal cases in the U.S., including the O.J. Simpson trial and Andrew Cunanan's 1997 murder spree."
College Hoops 2K6,6,9627,2,2006,100000098,3,,10,10,"An exploration of the American circus, as the spectacle evolved from a one-ring show to a cultural event and eventually, a dying breed."
College Hoops 2K7,6,9627,2,2006,100000099,12,508,10,7,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
College Hoops 2K8,6,9627,2,2007,100000100,8,357,1,1,"An elite soldier, a corporate lawyer and a political activist uncover a deadly conspiracy linking terrorists to a powerful American corporation."
Command & Conquer 3: Kane's Wrath,7,9637,2,2008,100000101,18,939,4,7,"A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery."
Command & Conquer 3: Tiberium Wars,7,9637,2,2007,100000102,4,783,1,7,"Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption."
Command & Conquer: Red Alert 3,7,9637,2,2008,100000103,17,771,1,1,"Raised by three mothers, a self-assured teen in turmoil meets the father figure she never had. But she also stands to drive the man and his son apart."
Conan,2,9655,4,2007,100000104,1,92,6,5,"Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?"
Condemned 2: Bloodshot,2,9651,2,2008,100000105,15,145,10,10,"In a world known as the Copper Dimension, a group of high-school girls fights against dark forces – and their own inner demons."
Condemned: Criminal Origins,2,9651,2,2005,100000106,17,273,1,9,"In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world."
Conflict: Denied Ops,1,9640,2,2008,100000107,5,,1,8,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
Contra 4,1,9641,1,2007,100000108,12,591,7,1,"In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits."
Crackdown,4,9642,2,2007,100000109,16,813,1,10,"Spine-chilling stories of malevolent spirits unfold in villages, jungles and haunted buildings across India."
Crazy Taxi: Fare Wars,3,9651,5,2007,100000110,13,154,10,3,"The cases are supernatural; the police officers human. Together, cops Aditi and Vikrant must solve mysteries from the realm of the paranormal."
Crush,1,9651,5,2007,100000111,13,269,8,7,"A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables."""
Culdcept Saga,7,9645,2,2008,100000112,13,908,1,8,A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.
Custom Robo Arena,4,9647,1,2006,100000113,1,685,5,3,"After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact."
Dance Dance Revolution Hottest Party,1,9641,3,2007,100000114,7,450,1,6,"A sound director who suddenly starts getting visions of someone else’s future gets mired in the lives of two women, who happen to share the same name."
Dance Dance Revolution Universe 2,1,9641,2,2007,100000115,12,,1,9,An angel falls to earth to investigate why humans are doing fewer good deeds – and falls in with a hard-charging crime reporter and his news team.
Dark Messiah of Might and Magic: Elements,4,9656,2,2008,100000116,8,368,1,6,This CNN original series has chef Anthony Bourdain traveling to extraordinary locations around the globe to sample a variety of local cuisines.
Darkstalkers Chronicle: The Chaos Tower,1,9633,5,2004,100000117,1,,1,4,"Hailing from the mountains of Iga, Kanzo Hattori moves in with elementary school student Kenichi Mitsuba and his family to hone his skills as a ninja."
Daxter,1,9652,5,2006,100000118,1,,1,8,This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache.
De Blob,1,9655,3,2008,100000119,13,815,1,10,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
Dead Rising,1,9633,2,2006,100000120,13,928,1,8,"Amid the turmoil of 1960s LA, two cops and a prominent political family are drawn into the sex- and drug-fueled web of a young Charles Manson."
Dead Space,1,9637,4,2008,100000121,14,679,1,2,"Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world."
Dead to Rights: Reckoning,1,9645,5,2005,100000122,13,188,7,7,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!"
Death Jr.,1,9641,5,2005,100000123,13,110,1,4,"Determined by a dating algorithm, a group of single contestants must identify their perfect matches for a shot at love and a cash prize."
Death Jr. and the Science Fair of Doom,1,9641,1,2007,100000124,11,,1,10,"Aiming to become part of Amsterdam's elite, an ambitious college student joins an exclusive society, unaware it's hiding a horrifying secret."
Death Jr. II: Root of Evil,1,9640,3,2008,100000125,1,,6,10,"In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light."
Def Jam Fight for NY: The Takeover,1,9637,5,2006,100000126,12,,1,8,"Wry yet thoughtful, comedian Ari Shaffir brings his edgy humor to two fast-paced stand-up specials about children and adulthood."
Def Jam: Icon,1,9637,2,2007,100000127,7,257,1,9,"It's the Emmy-winning story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together."
Destroy All Humans! Big Willy Unleashed,2,9655,3,2008,100000128,17,,1,2,"Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows."
Devil May Cry 4,1,9633,2,2008,100000129,9,755,6,6,"In a mythical land called Arth, the inhabitants of the ancient city of Arthdal and its surrounding regions vie for power as they build a new society."
Diddy Kong Racing DS,3,9647,1,2007,100000130,1,,1,5,"Thirty years later, Ash Williams – demon hunter par excellence – is back to battle a new Deadite plague. He may have lost a hand, but not his touch."
Dig Dug: Digging Strike,1,9645,1,2005,100000131,10,865,8,9,"Hidden away by her mother, the Floral Goddess, the naïve Jinmi is drawn to Xufeng, the Heavenly Emperor's son. Yet forces conspire against them."
Digimon World DS,4,9645,1,2006,100000132,14,,2,5,"From allergies to diet to sleep, three friendly doctors share expert advice, bust medical myths and test the latest treatments."
Disney Pirates of the Caribbean: At World's End,1,9636,1,2007,100000133,4,416,1,1,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth."
Dissidia: Final Fantasy,4,9654,5,2008,100000134,3,732,1,4,"With unique individual perspectives that converge into a unified voice, sketch comedy group Astronomy Club delivers a smart and absurd brand of humor."
DK: Jungle Climber,7,9647,1,2007,100000135,3,,5,3,"Encountering each other after a long separation, two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love."
Don King Presents: Prizefighter,6,9627,2,2008,100000136,18,,1,6,"A young ""fabric geek"" lands a job at an upscale Japanese lingerie company – and quickly discovers she'll need help to survive."
Donkey Kong Barrel Blast,3,9647,3,2007,100000137,13,14,1,5,"Captain Atomic – once a superhero, now a sock puppet – can only activate his powers with the help of Joey, his new partner and biggest fan."
Dragon Ball Z: Budokai Tenkaichi 2,1,9631,3,2006,100000138,14,,4,7,"With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race."
Dragon Ball Z: Budokai Tenkaichi 3,1,9631,3,2007,100000139,15,549,1,7,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery."
Dragon Ball Z: Burst Limit,1,9631,2,2008,100000140,16,733,1,10,"Comedy trio Aunty Donna showcase their uniquely absurd and offbeat style through an array of sketches, songs and eclectic characters."
Dragon Ball Z: Harukanaru Densetsu,7,9631,1,2007,100000141,4,,1,7,Three teams of gold hunters battle all manner of challenges while pursuing their dreams in the Australian Outback.
Dragon Ball Z: Shin Budokai - Another Road,1,9631,5,2007,100000142,17,530,1,3,"After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son."
Dragon Ball Z: Supersonic Warriors 2,1,9631,1,2005,100000143,16,,1,2,"Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar, whose air-bending powers can defeat the evil Fire Nation."
Dragon Ball: Origins,2,9631,1,2008,100000144,5,861,1,9,"Sleepless for 24 hours, contestants in the comedy game show stumble through challenges both eccentric and everyday for a chance at a $1 million prize."
Dragon Quest Heroes: Rocket Slime,1,9654,1,2005,100000145,2,,1,10,Commander Emma Green leaves behind her husband and daughter to lead an international crew of astronauts on a perilous three-year mission to Mars.
Dragon Quest IV: Chapters of the Chosen,4,9654,1,2007,100000146,17,,1,4,A high-achieving 11-year-old student embarks on a journey of self-discovery at a school on a nearby island as he grapples with tensions at home.
Dragon Quest Monsters: Joker,4,9654,1,2006,100000147,15,654,1,4,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
Dragon Quest Swords: The Masked Queen and the T...,1,9654,3,2007,100000148,15,,7,9,"From nature to nurture, this docuseries explores the groundbreaking science that reveals how infants discover life during their very first year."
Dragon Quest V: Hand of the Heavenly Bride,4,9654,1,2008,100000149,14,,4,10,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives."
Drawn to Life,1,9655,1,2007,100000150,17,,8,1,"Step into the cutthroat world of kids' ballroom dancing, where ambitious instructors, proud parents and pint-sized performers waltz to win."
Driver: Parallel Lines,3,9656,3,2007,100000151,10,155,1,5,A Soviet freight train's hijacking leads a haunted cop and a poor typist to uncover a political conspiracy amid the vice and glamour of 1929 Berlin.
Dungeon Siege: Throne of Agony,4,9627,5,2006,100000152,2,106,1,8,"To pay for an epic blunder, three yakuza brothers are forced to alter their bodies, form a girl group and break into the underground J-Pop idol scene."
Dynasty Warriors: Gundam,1,9645,4,2007,100000153,6,,3,4,"A young man who's learned nothing about his father from his single mom has a freak accident that sends him back to 1989, the year before he was born."
EA Playground,3,9637,3,2007,100000154,16,156,1,6,New beginnings or old baggage? Four singles have one chance to reignite romance with an ex – or leave the past behind for good.
EA Replay,4,9637,5,2006,100000155,8,,1,7,"This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades."
Elebits,1,9641,3,2006,100000156,18,234,4,1,"This investigative docuseries explores the greed, fraud and corruption that built up — and ultimately brought down — India’s most infamous tycoons."
Electroplankton,5,9647,1,2005,100000157,6,243,3,1,"A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator."
Elite Beat Agents,1,9647,1,2006,100000158,16,,1,10,"Reinstated to eradicate the worst crimes in the city, a detective requests the release of three convicts to enlist their help in catching the felons."
Enchanted Arms,4,9656,2,2006,100000159,6,,5,1,"Ordered to take down a villainous business leader who controls the city, a prosecutor gathers a team of men who may not be so clean themselves."
Endless Ocean,5,9647,3,2007,100000160,9,803,1,2,"When a man is killed, his wife and his lover – both of whom are pregnant with his children – come under the thumb of his brutal, dictatorial father."
Enemy Territory: Quake Wars,1,9628,2,2008,100000161,9,,7,9,"Couples go on a romantic getaway to test their relationships, not knowing their families are calling the shots and cringing over their every move."
Escape from Bug Island,1,9640,3,2007,100000162,10,408,4,4,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on."
Eternal Sonata,4,9645,2,2007,100000163,11,,2,8,"Dan Kouzo and his crew of heroic brawlers battle both challengers and powerful, evil forces as they work to protect humans and the Bakugan."
Etrian Odyssey,4,9647,1,2007,100000164,13,,1,2,Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
Excite Truck,3,9647,3,2006,100000165,3,832,1,2,"Watch Ganesh destroy demons, disarm invaders and defeat dacoits in this series based on the mythological Hindu elephant god’s childhood."
Exit,1,9656,5,2005,100000166,4,,7,10,A veteran journalist starting a news site about corruption in Chile stumbles on a big story when a fellow investigative reporter dies suspiciously.
Fable II,4,9642,2,2008,100000167,8,,1,9,Three young men leading carefree bachelors’ lives in the city face the trials of true love when they meet three beautiful women.
Facebreaker,6,9637,2,2008,100000168,18,719,1,2,"Living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires."
